"","opid","operator","atype","remarks","phase_of_flt","ac_mass","num_engs","date","time_of_day","state","height","speed","effect","sky","species","birds_seen","birds_struck"
"5386","SWA","SOUTHWEST AIRLINES","B-737-500","EXTENT OF DAMAGE NOT REPTD.","Descent",4,2,1996-05-05,"Dusk","TX",12000,300,"None","Some Cloud","UNKNOWN BIRD - LARGE",NA,"1"
"5387","DAL","DELTA AIR LINES","B-737-200","BIRDS WERE SITTING ON EDGE OF RY.  OUR APPROACH CAUSED THEM TO  FLY OVER RY.  BIRD WAS NOT SEEN PRIOR TO IMPACT.  NO DAMAGE OR  INJURIES. TIME OUT OF SERVICE 1/4 HR.","Climb",4,2,1993-10-28,"Day","FL",10,130,"Precautionary Landing","Some Cloud","UNKNOWN BIRD - MEDIUM","2-Oct","1"
"5388","NWA","NORTHWEST AIRLINES","DC-9-30","BROKE LANDING LIGHT LENS. NO LOSS OF REVENUE.","Landing Roll",4,2,1993-05-27,"Day","MI",0,110,NA,"Overcast","SPARROWS",NA,"1"
"5389","BTA","EXPRESSJET (CONTINENTAL EXPRS)","ATR-42","NO DAMAGE. VERY SMALL BIRD.","Take-off run",3,2,1992-09-29,"Dawn","PA",0,100,"None","No Cloud","UNKNOWN BIRD - SMALL","2-Oct","1"
"5390","PDT","PIEDMONT AIRLINES","BE-1900","MINOR DAMAGE, SMALL DENT IN L WING. STRIKE OCCURRED PRIOR TO  OPENING OF TOWER.","Take-off run",3,2,1993-05-19,"Day","CT",0,100,NA,"Overcast","GULLS","2-Oct","2-Oct"
"5391","BTA","EXPRESSJET (CONTINENTAL EXPRS)","EMB-120","BIRD WAS SML OR MED. UNKN IF DAMAGE.","Approach",3,2,1993-05-19,"Night","TX",2000,130,"None","No Cloud","UNKNOWN BIRD",NA,"1"
"5392","UPS","UPS AIRLINES","B-727","HIT UNDERNEATH NOSE, NO DAMAGE","Approach",4,3,1992-05-20,"Night","PA",800,140,"None","No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"5393","NWA","NORTHWEST AIRLINES","MD-80","NO DAMAGE.","Climb",4,2,1993-09-12,"Day","MD",100,130,NA,"No Cloud","GULLS",NA,"2-Oct"
"5394","JAL","JAPAN AIRLINES","B-747-1/200",NA,"Landing Roll",5,4,1993-10-11,"Day","WA",0,135,"None","No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"5395","BTA","EXPRESSJET (CONTINENTAL EXPRS)","ATR-42","NO DAMAGE.","En Route",3,2,1993-10-11,"Dawn","CT",4000,220,"None","No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"5396","DAL","DELTA AIR LINES","B-737","NO DAMAGE.","Landing Roll",4,2,1992-07-24,"Day","TN",0,100,NA,"Some Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"5397","DAL","DELTA AIR LINES","B-737-200","FLOCK OF BIRDS FLEW ACROSS RWY & 2 OR 3 HIT OUTBOARD SIDE OF #1  ENG.  AT LEAST 1 WAS INGESTED.  NO DAMAGE.  FEATHERS FOUND ON FAN  BLADES & ON CSD OIL COOLER.  BLOOD & FEATHERS ON OUTSIDE OF ENG  COWLING.","Landing Roll",4,2,1992-08-12,"Night","TX",0,92,"None","No Cloud","UNKNOWN BIRD - MEDIUM","2-Oct","2-Oct"
"5398","EGF","AMERICAN EAGLE AIRLINES","BA-31 JETSTR","NO DAMAGE, NO INGESTION. CONTINUED TO LEX WHERE MX SIGNED OFF A/C  WITH NO DAMAGE NOTED.","Climb",2,2,1994-08-04,"Day","TN",1400,190,"None","Some Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"5399","AAL","AMERICAN AIRLINES","B-727-200",NA,"Approach",4,3,1992-09-10,"Night","NY",1000,160,"None","No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"5400","PVT","PRIVATELY OWNED","PA-28","BIRD STRUCK COWL & WINDSHIELD. IMPACT POPPED OIL DOOR OPEN AND  MADE 6"" HOLE IN WINDSHLD.","Climb",1,1,1993-12-26,"Day","CA",600,85,"Precautionary Landing","Overcast","GULLS",NA,"1"
"5401","SWA","SOUTHWEST AIRLINES","B-737-200",NA,"Approach",4,2,1994-10-20,"Night","TX",5000,170,"None","No Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"5402","TWA","TRANS WORLD AIRLINES","L-1011","NO DAMAGE/INJURY","Landing Roll",4,3,1991-10-13,"Night","CA",0,140,NA,"No Cloud","GULLS",NA,"2-Oct"
"5403","PVT","PRIVATELY OWNED","C-152",NA,"En Route",1,1,1995-04-13,"Day","WI",2000,90,"None","No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"5404","USA","US AIRWAYS","B-737-300","HIT FORWARD RIGHT SIDE OF FUSELAGE. SOME FEATHERS LEFT ON A/C  SKIN. NO DAMAGE.","Climb",4,2,1994-10-27,"Night","CA",2200,230,"None","No Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"5405","AAL","AMERICAN AIRLINES","FK-100","LOUD NOISE IN COCKPIT AT IMPACT. NO DAMAGE/INJURIES.  PRECAUTIONARY INSPN OF A/C & ENGS AFTER LANDING AT ORD.","Climb",4,2,1992-10-26,"Night","IN",7000,250,"None","No Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"5406","PVT","PRIVATELY OWNED","C-152","data entry note: reporter checked box next to cruise for phase of  flt, but probably meant climb due to low altitude","Climb",1,1,1994-06-10,"Day",NA,30,90,"None","Some Cloud","UNKNOWN BIRD",NA,"1"
"5407","SWA","SOUTHWEST AIRLINES","B-737",NA,"Climb",4,2,1995-10-07,"Day","CA",100,135,"None","No Cloud","SPARROWS",NA,"1"
"5408","AAL","AMERICAN AIRLINES","MD-82","HIT FLOCK OF SMALL BIRDS. UNKN IF DAMAGE, NONE APPARENT.","Landing Roll",4,2,1992-08-20,"Day","NC",0,110,NA,"Overcast","UNKNOWN BIRD - SMALL","2-Oct","2-Oct"
"5409","AAL","AMERICAN AIRLINES","MD-82",NA,"Approach",4,2,1994-11-13,"Night","NY",3000,210,"None","Overcast","UNKNOWN BIRD - MEDIUM",NA,"1"
"5410","USA","US AIRWAYS","FK-100","FLT 463 WAS ON ROLLOUT WHEN BIRD FLEW UP & HIT RT SIDE FRONT  OF WINDSHLD. NO DAMAGE.","Landing Roll",4,2,1991-10-21,"Day","VA",0,100,"None","Some Cloud","GULLS","2-Oct","1"
"5411","USA","US AIRWAYS","DC-9",NA,"Approach",4,2,1994-08-05,"Day","PA",200,150,"None","Overcast","EUROPEAN STARLING","11-100","2-Oct"
"5412","BUS","BUSINESS","CL-600","MARK ON RIGHT FRONT OF A/C NO DENTS OR CHIPPED PAINT. NO DAMAGE.","Landing Roll",3,2,1994-06-27,"Day","NC",0,110,NA,"Overcast","BLACKBIRDS",NA,"1"
"5413","PVT","PRIVATELY OWNED","BE-58  BARON",NA,"Take-off run",2,2,1994-09-26,"Dawn","CT",0,70,"None","Overcast","MOURNING DOVE","2-Oct","2-Oct"
"5414","USA","US AIRWAYS","B-737-300","FLOCK HIT. NO DAMAGE.","Approach",4,2,1992-08-15,"Night","FL",8,130,NA,"Overcast","BLACKBIRDS",NA,"2-Oct"
"5415","NAC","NORTHERN AIR CARGO","DC-6","WATERFOWL.","Climb",4,4,1994-05-19,"Day","AK",1600,200,"None","Some Cloud","DUCKS, GEESE, SWANS","11-100","1"
"5416","ALO","ALLEGHENYAIRLINES","SHORTS 360","FLT 3747, NO DAMAGE. (DATA ENTRY NOTE: SEA GULL REPTD ON 1 FORM,  IT WAS WRONG)","Landing Roll",3,2,1994-07-19,"Day","NJ",0,80,"None","No Cloud","BARN SWALLOW",NA,"1"
"5417","SDU","WESTAIR COMMUTER","BA-31 JETSTR","SMALL DENT IN RT WING ROOT.  TIME OUT 1/2 HR.","Climb",2,2,1993-05-20,"Day","CA",200,130,"None","No Cloud","ROCK PIGEON","2-Oct","1"
"5418","UFS","UFS-UNITED EXPRESS","BA-ATP","NO DAMAGE.","Approach",3,2,1995-06-21,"Day","IL",300,120,"None","No Cloud","EASTERN MEADOWLARK",NA,"1"
"5419","SWA","SOUTHWEST AIRLINES","B-737-200","TIME = 0900   NO DAMAGE.","Take-off run",4,2,1993-05-26,"Day","TX",0,150,"None","No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"5420","DAL","DELTA AIR LINES","MD-88","FLT 1872 RETD TO ATL. BIRD ODOR ENTERED THRU AIR COND. SYSTEM.  INSTRMNTS NORMAL.  MECH FOUND PARTS IN LEFT ENG. RAN ENG. OKED  OPERATION.","Climb",4,2,1995-07-31,"Day","GA",100,120,"Precautionary Landing","Some Cloud","EUROPEAN STARLING","2-Oct","2-Oct"
"5421","USA","US AIRWAYS","B-737-200","BLOOD AND BROWN FEATHERS FOUND ON BOTTOM OF RADOME. NO CARCASS  FOUND ON RY.","Landing Roll",4,2,1995-06-21,"Day","NY",0,130,"None","Some Cloud","SPARROWS",NA,"1"
"5422","PVT","PRIVATELY OWNED","C-177","RIP 2 1/2 FT. INBOARD FROM LEFT WING","Climb",1,1,1994-07-22,"Dusk","MI",150,75,"None","Some Cloud","GULLS","2-Oct","1"
"5423","COA","CONTINENTAL AIRLINES","B-727-200","2 BROWN DOVES.  PER AIRLINE,  A/C WAS OK.","Take-off run",4,3,1993-08-14,"Dawn","VA",0,160,"None","No Cloud","MOURNING DOVE",NA,"2-Oct"
"5424","BUS","BUSINESS","BA-125-800","EXTENT OF DAMAGE NOT REPTD.","Take-off run",3,2,1994-11-04,"Day","IL",0,125,"None","Overcast","GULLS",NA,"1"
"5425","MES","MESABA AIRLINES","MERLIN III",NA,"Approach",2,2,1994-10-10,"Night","OH",300,120,"None","No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"5426","DAL","DELTA AIR LINES","B-767-300","NO DAMAGE, NO IMPACT.","Approach",4,2,1991-10-05,"Night","GA",2500,200,"None","Overcast","UNKNOWN BIRD - SMALL",NA,"1"
"5427","AAL","AMERICAN AIRLINES","MD-80","BIRD STRUCK CAPT'S CLEARVIEW WINDOW. NO APPARENT DAMAGE.","Approach",4,2,1995-05-04,"Night","NY",2000,150,"None","Overcast","UNKNOWN BIRD - MEDIUM",NA,"1"
"5428","UAL","UNITED AIRLINES","B-737","NO DAMAGE/INJURY.FLT 1463","Landing Roll",4,2,1991-07-16,"Night","VA",0,100,NA,"No Cloud","HAWKS",NA,"1"
"5429","ALO","ALLEGHENYAIRLINES","DHC8 DASH 8","FLT 3753","Approach",3,2,1995-04-25,"Night","PA",1500,120,"None","No Cloud","GULLS",NA,"1"
"5430","DAL","DELTA AIR LINES","MD-88",NA,"Landing Roll",4,2,1994-04-20,"Dusk","GA",0,130,"None","No Cloud","DOVES",NA,"1"
"5431","AAL","AMERICAN AIRLINES","B-757-200","BIRDS ARE A FACT OF LIFE AT TEGUCIGALPA.  NUMEROUS SCATTERED  COMMON VULTURES WERE OBSERVED ON DEPARTURE IN ALL QUADRANTS OF  INTENDED FLT PATH.   WE FELT A SLIGHT IMPACT THROUGH THE CONTROLS  WHEN ONE TUCKED ITS WINGS AND DOVE.  NO ADVERSE INDICATIONS ON  ENG. INSTRMNTS. FLT CONTROLS NORML.  LRG DENT ON #1 ENG COWL  FOUND UPON LNDG.","Climb",4,2,1993-01-24,"Day",NA,2500,210,"None","Some Cloud","VULTURES","11-100","1"
"5432","AAL","AMERICAN AIRLINES","MD-83","NO DAMAGE","Landing Roll",4,2,1993-08-06,"Day","TX",0,125,"None","Overcast","SPARROWS",NA,"1"
"5433","PVT","PRIVATELY OWNED","C-152","NO DAMAGE","Approach",1,1,1993-08-05,"Day","PA",10,60,"None","Some Cloud","SWALLOWS",NA,"1"
"5434","USA","US AIRWAYS","MD-80","DAMAGED THE BLADE IN #2 ENG. A/C WAS GROUNDED AT KIND.","Climb",4,2,1993-08-08,"Night","IN",100,160,"Precautionary Landing","No Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"5435","PVT","PRIVATELY OWNED","PA-28",NA,"Landing Roll",1,1,1993-08-08,"Night","LA",0,60,"None","No Cloud","OWLS",NA,"1"
"5436","HAL","HAWAIIAN AIR","DC-9-80","BURNING ODOR FILLED CABIN AND COCKPIT FOR ABOUT 3 MIN. AFTER  STRIKE.  ALL ENG. INDICATIONS NORMAL. LANDING UNEVENTFUL.","Climb",4,2,1993-04-20,"Day","HI",200,160,"None","Some Cloud","UNKNOWN BIRD - MEDIUM","2-Oct","1"
"5437","JAL","JAPAN AIRLINES","B-747-1/200","HIT A FLOCK, # NOT REPTD, ASSUME 2-10","Take-off run",5,4,1991-09-16,"Day","WA",0,80,NA,"No Cloud","UNKNOWN BIRD - SMALL","2-Oct","2-Oct"
"5438","AAL","AMERICAN AIRLINES","MD-82",NA,"Approach",4,2,1992-10-30,"Day","DC",1000,130,"None","Overcast","GULLS","2-Oct","1"
"5439","USA","US AIRWAYS","DC-9-30","NO DAMAGE","Approach",4,2,1995-10-07,"Night","GA",2000,240,"None","No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"5440","USA","US AIRWAYS","B-737-300","NO DAMAGE.","Approach",4,2,1995-10-07,"Night","TN",3000,200,"None","No Cloud","UNKNOWN BIRD",NA,"1"
"5441","AAH*","ALOHA AIRLINES","B-737-200","SULFUR ODOR IN COCKPIT, CABIN AFTER ROTATION ON T/O. ENG INSTRS &  T/O WERE NORMAL. BIRD RESIDUE WAS OBSERVED IN #2 ENG ON POST FLT  INSPN.","Take-off run",4,2,1995-12-24,"Day","HI",0,130,"None","No Cloud","UNKNOWN BIRD",NA,"1"
"5442","GOV","GOVERNMENT","BE-300 KING","FLT 79","En Route",1,2,1995-11-01,"Day","FL",1600,190,"None","Overcast","UNKNOWN BIRD - SMALL",NA,"1"
"5443","ASA","ALASKA AIRLINES","B-737-400","NO ENG DAMAGE. INGESTED 1 BIRD","Approach",4,2,1995-08-10,"Night","AK",250,140,"None","Overcast","GULLS",NA,"1"
"5444","MES","MESABA AIRLINES","MERLIN III","FLT 3389 TIME = 1430","Take-off run",2,2,1993-11-12,"Day","KY",0,130,NA,NA,"KILLDEER","2-Oct","2-Oct"
"5445","LWD","LEISURE AIR","A-320","#1 ENG FOD BY GUINEA FOWL. STRUCK A FLOCK. # NOT REPTD, ASSUME  2-10.","Take-off run",4,2,1993-11-13,"Day",NA,0,110,NA,"No Cloud","GUINEAFOWL","2-Oct","2-Oct"
"5446","AAL","AMERICAN AIRLINES","MD-80","BIRD REMAINS ON CENTER WINDSCREEN (HIGH) & VERTICAL & HORIZONTAL  FIN.  FLT1714. TIME = 0650PST","Take-off run",4,2,1995-03-08,"Dawn","CA",0,130,"Precautionary Landing","Overcast","DUCKS","2-Oct","1"
"5447","USA","US AIRWAYS","DC-9","5 MI VIS. FLT 1451","Landing Roll",4,2,1994-07-26,"Dusk","PA",0,140,"None","Overcast","CANADA GOOSE","2-Oct","1"
"5448","AAL","AMERICAN AIRLINES","B-727-100","NO DAMAGE.","Approach",4,3,1993-04-06,"Night","LA",1000,125,"None","No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"5449","UAL","UNITED AIRLINES","B-737","FLT 1621 ABTD T/O AT 1918LCL. A/C WAS INSPCTD ON RWY. NO  DAMAGE FOUND. A/C TAXIED TO GATE & RWY WAS REOPENED.","Take-off run",4,2,1996-08-16,"Dusk","IL",0,120,"Aborted Take-off","Some Cloud","GREAT BLUE HERON",NA,"1"
"5450","BUS","BUSINESS","PA-34 SENECA","A/C WAS LIFTING OFF FROM A TOUCH & GO WHEN BIRDS FLEW INTO A/C'S  PATH.","Climb",1,2,1996-09-07,"Day","CT",5,110,"None","Overcast","CANADA GOOSE","2-Oct","2-Oct"
"5451","AAL","AMERICAN AIRLINES","B-727",NA,"Approach",4,3,1993-05-16,NA,"IN",10,126,"None","No Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"5452","HNA","HENSON","DHC8 DASH 8","FLT 3241","Landing Roll",3,2,1993-06-27,"Day","FL",0,85,"None",NA,"UNKNOWN BIRD - SMALL","2-Oct","1"
"5453","SCX","SUN COUNTRY AIRLINES","B-727",NA,"Climb",4,3,1994-12-31,"Day","FL",100,160,"None","Some Cloud","UNKNOWN BIRD",NA,"1"
"5454","AAL","AMERICAN AIRLINES","MD-80","HIT ABOVE COCKPIT WINDOW. NO DAMAGE NOTED. SMALL WHITE BIRD.  FLT CONTD TO NORMAL LANDING AT DEST.","Take-off run",4,2,1994-10-10,"Day","MA",0,110,"None","Some Cloud","UNKNOWN BIRD - SMALL","2-Oct","1"
"5455","AAL","AMERICAN AIRLINES","B-727-200","FLAP STRUCK","Approach",4,3,1995-04-13,"Day","FL",300,140,"None","Some Cloud","GULLS",NA,"1"
"5456","SWA","SOUTHWEST AIRLINES","B-737-300","NO DAMAGE.","Landing Roll",4,2,1993-05-13,"Day","TX",0,100,"None","No Cloud","SPARROWS",NA,"1"
"5457","LOF","TRANS STATES AIRLINES","BA-31 JETSTR","DEPARTING RY 13 AT TAKEOFF SPEED, WHEN 5 OR 6 DEER CROSSED RY IN  FRONT OF ACFT.  ACFT HIT 2.","Take-off run",2,2,1994-02-28,"Night","MO",0,110,"Aborted Take-off","Overcast","WHITE-TAILED DEER","2-Oct","2-Oct"
"5458","PVT","PRIVATELY OWNED","C-210 CENTUR","EXTENT OF DAMAGE NOT REPTD.","Approach",1,1,1992-10-27,"Night","WV",1800,140,"None","No Cloud","AMERICAN COOT",NA,"1"
"5459","PVT","PRIVATELY OWNED","PA-24 COMANCHE","RT WING MASHED BACK 3"" DEEP BY 1 FT WIDE. (SEE DRAWING). TIME OUT  OF SERVICE 35 WORKING HOURS.","Descent",1,1,1993-10-27,"Day","MI",2300,150,"None","Overcast","DUCKS, GEESE, SWANS",NA,"1"
"5460","BUS","BUSINESS","C-421",NA,"Climb",2,2,1993-06-19,"Day","OH",30,110,"None","Some Cloud","GULLS","2-Oct","1"
"5461","GLA","GREAT LAKES AIRLINES","BE-1900","BIRD STRUCK R WING LE CAUSING A SMALL DENT. FLT CONTD NORMALLY.  TIME WAS LESS THAN A DAY TO REPAIR.","Climb",3,2,1994-10-24,"Dawn","MN",3000,160,"None","Overcast","UNKNOWN BIRD",NA,"1"
"5462","SWA","SOUTHWEST AIRLINES","B-737-300",NA,"Approach",4,2,1995-04-27,"Night","TX",4000,210,"None","Some Cloud","UNKNOWN BIRD - LARGE",NA,"1"
"5463","AAH*","ALOHA AIRLINES","B-737",NA,"Landing Roll",4,2,1994-12-03,"Day","HI",0,141,"None","Some Cloud","MANNIKINS",NA,"2-Oct"
"5464","UPS","UPS AIRLINES","B-727",NA,"Approach",4,3,1994-08-24,"Night","IA",2900,180,"None","No Cloud","UNKNOWN BIRD - SMALL","2-Oct","2-Oct"
"5465","AAL","AMERICAN AIRLINES","MD-80","NO DAMAGE FOUND.","Climb",4,2,1993-08-25,"Dusk","TX",1000,190,"None","No Cloud","SPARROWS","2-Oct","1"
"5466","JAL","JAPAN AIRLINES","B-747-1/200","DOWN WIND LEG.","Approach",5,4,1993-08-26,"Day","WA",2700,80,"None","No Cloud","GULLS",NA,"1"
"5467","BUS","BUSINESS","PA-38 TOMAHAWK","BLACKBIRD STARLING. NO DAMAGE OR DELAY TO AIR TRAFFIC","Approach",1,1,1992-09-09,"Day","NY",50,70,"None","No Cloud","EUROPEAN STARLING",NA,"2-Oct"
"5468","BTA","EXPRESSJET (CONTINENTAL EXPRS)","ATR-42","BIRD HIT A/C ON BELLY. NO DAMAGE NOTED. TIME = 1245Z. FLT3593","Approach",3,2,1992-08-20,"Day","PA",70,105,"None","No Cloud","BLACKBIRDS",NA,"1"
"5469","UAL","UNITED AIRLINES","B-737-300","TIME = 1751PDT.  FLT 2049 STRUCK A BIRD DURING T/O. NO REPTD  DAMAGE. FLT CONTD TO LAX. HIT F/O WINDOW.","Take-off run",4,2,1995-04-03,"Day","CA",0,120,"None","No Cloud","UNKNOWN BIRD - MEDIUM","11-100","2-Oct"
"5470","USA","US AIRWAYS","DC-9-30","DAMAGE UNKN. PILOT ADVISED HE WOULD CALL TOWER FOR REPORT, BUT  CALL NOT RECEIVED. NO DAMAGE OBSERVED BY CONTROLLER.","Landing Roll",4,2,1994-08-16,"Day","AL",0,125,"None","Some Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"5471","BUS","BUSINESS","C-172",NA,"Take-off run",1,1,1994-08-17,"Day","GA",0,50,"None","Some Cloud","DOVES",NA,"2-Oct"
"5472","BUS","BUSINESS","C-152",NA,"Climb",1,1,1994-08-17,"Day","CA",100,90,"None","Overcast","UNKNOWN BIRD - MEDIUM",NA,"1"
"5473","AAL","AMERICAN AIRLINES","MD-80",NA,"Approach",4,2,1994-02-15,"Day","QC",10,130,"None","Overcast","UNKNOWN BIRD - SMALL","11-100","2-Oct"
"5474","FDX","FEDEX EXPRESS","B-727","F/O LANDED A/C, PILOT'S VIEW OBSTRUCTED. POSSIBLE GOOSE.","Descent",4,3,1993-04-08,"Night","IN",10500,270,"Other","Some Cloud","GEESE",NA,"1"
"5475","AAL","AMERICAN AIRLINES","MD-82","STRIKE OCCURRED DURING ROTATION","Take-off run",4,2,1994-10-13,"Day","LA",0,140,"None","Some Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"5476","AAL","AMERICAN AIRLINES","A-300",NA,"Approach",4,2,1993-09-22,"Night","NY",3000,170,"None","Overcast","UNKNOWN BIRD - MEDIUM",NA,"1"
"5477","USA","US AIRWAYS","B-737-200","POSSIBLE SPARROW HAWK S/MED BIRD","Climb",4,2,1995-04-04,"Day","PA",2,140,"None","Some Cloud","AMERICAN KESTREL",NA,"1"
"5478","BUS","BUSINESS","C-560","NO OBSVD DAMAGE TO A/C.","Approach",1,2,1992-10-29,"Night","AL",2500,180,"None","Some Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"5479","BUS","BUSINESS","LEARJET-35",NA,"Landing Roll",3,2,1994-09-28,"Day","OH",0,118,"None","Some Cloud","GULLS","11-100","1"
"5480","PVT","PRIVATELY OWNED","MOONEY-20B/C","SHELL OF A/C CRUMPLED AROUND WINDSHIELD, PILOT DID NOT ACTUALLY SEE BIRDS.  THE DOWN LEFT ON THE AIRCRAFT APPEARD TO BE THAT OF  DUCKS OR GEESE.  PILOT HAD REPLACED WINDSHELD WITH 1/4 INCH  GLASS.  HE BELIEVES THIS MAY HAVE PREVENTED DEATH OR SERIOUS  INJURY.","Descent",1,1,1990-09-13,"Night","ND",825,165,"Precautionary Landing","No Cloud","DUCKS, GEESE, SWANS",NA,"1"
"5481","PVT","PRIVATELY OWNED","C-172","SAW A BROWN BIRD THEN HEARD A LOUD BANG (108DB). A/C YAWED RT  THROUGH 45 DEGREES & DROPPED 8'. I RECOVERED, RESUMED CLIMB & RETD  TO KUMP. EXAMINED WING. FOUND DENT 1/8"" X 1/4"" DEEP. I WAS TOLD  THAT OF 20 A/C IN MECHANICS CARE, 4 WERE FROM BIRD STRIKES DURING  AUG. TIME OUT OF SERVICE 6 MINS. COST TO REPAIR UNKN. OTHER COST  $40 FOR LOST LESSON TIME.","Climb",1,1,1992-08-31,"Dusk","IN",20,70,"Precautionary Landing","No Cloud","HAWKS",NA,"1"
"5482","USA","US AIRWAYS","B-737-200",NA,"Approach",4,2,1994-10-10,"Night","GA",500,140,"None","Overcast","UNKNOWN BIRD - MEDIUM",NA,"1"
"5483","AAH*","ALOHA AIRLINES","B-737-200","DURING T/O ROLL, EXPERIENCED SMELL OF POSSIBLE BIRD INGESTION.  ENGS PERFORMED NORMALLY. AFTER LANDING, INSPCTD ENGS & FOUND  EVIDENCE OF BIRD INGESTION IN #1.","Take-off run",4,2,1992-10-30,"Day","HI",0,80,"None","No Cloud","UNKNOWN BIRD",NA,"1"
"5484","PVT","PRIVATELY OWNED","BE-55  BARON","WATERFOWL - POSSIBLY DUCK- IMPACTED WINDSHIELD HOT PLATE","En Route",2,2,1995-08-30,"Night","SD",6200,180,"None","No Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"5485","PVT","PRIVATELY OWNED","C-172","SPARROWS? NO DAMAGE/INJURY.","Approach",1,1,1993-04-17,"Day","CA",10,50,NA,"Overcast","SPARROWS",NA,"2-Oct"
"5486","USA","US AIRWAYS","FK-100",NA,"Approach",4,2,1995-04-18,"Day","TN",1200,140,"None",NA,"EUROPEAN STARLING",NA,"1"
"5487","AAL","AMERICAN AIRLINES","DC-9-80","FELT THUMP BELOW COPILOT'S WINDOW THEN PRONOUNCED BURNING SMELL  IN AIR COND. INGESTED INTO LEFT ENGINE, REQUIRED CLEANING. NO  LOSS OF REVENUE. FLT 405. SJC-YVR.","Climb",4,2,1994-09-26,"Night","CA",50,140,NA,"No Cloud","UNKNOWN BIRD - MEDIUM",NA,"2-Oct"
"5488","EGF","AMERICAN EAGLE AIRLINES","ATR-42","FLT4171","Approach",3,2,1994-10-04,"Night","MI",200,125,"None","Some Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"5489","SWA","SOUTHWEST AIRLINES","B-737-200","HOLE IN DORSAL AT BASE OF VERT. STAB.","Approach",4,2,1993-11-12,"Night","CA",3000,210,NA,"Some Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"5490","UAL","UNITED AIRLINES","B-757-200",NA,"Approach",4,2,1995-06-10,"Day","MO",10,140,"None","No Cloud","UNKNOWN BIRD - SMALL","2-Oct","2-Oct"
"5491","SWA","SOUTHWEST AIRLINES","B-737-300",NA,"Approach",4,2,1995-06-11,"Day","OR",73,120,"None","No Cloud","UNKNOWN BIRD - SMALL",NA,"2-Oct"
"5492","CHQ","CHAUTAUQUA AIRLINES","SAAB-340","LEADING EDGE R WING DENTED.","Approach",3,2,1995-04-19,"Day","NY",3000,190,"None","Some Cloud","GEESE",NA,"1"
"5493","AAL","AMERICAN AIRLINES","MD-83","BIRD STRUCK IN LANDING FLARE. HIT LEFT LEADING EDGE. NO DAMAGE.","Approach",4,2,1995-08-03,"Day","CT",50,135,"None","Overcast","UNKNOWN BIRD - SMALL",NA,"1"
"5494","ASA","ALASKA AIRLINES","MD-83","RADOME REPLACED BEFORE NEXT FLIGHT. HAD TO WAIT 20 HRS FOR PART.  FLT951.","Climb",4,2,1994-10-23,"Day","CA",200,160,"None","No Cloud","GULLS",NA,"1"
"5495","SWA","SOUTHWEST AIRLINES","B-737-200","BIRD INGESTED IN #1 ENG. NO DAMAGE.","Take-off run",4,2,1994-08-24,"Day","TX",0,135,"None","No Cloud","GULLS",NA,"1"
"5496","AAH*","ALOHA AIRLINES","B-737-300","STRUCK A BIRD ON DEPT. FROM LIHUE. CONTINUED FLT. ALL ENG.  INSTRUMENTS INDICATED NORMAL.  AFTER ARRIVING HONOLULU AT 2212Z,  IT WAS REVEALED THAT THE BIRD WAS INGESTED IN # ENG RESULTING IN  DAMAGE TO ROTOR BLADES.","Take-off run",4,2,1993-01-20,"Day","HI",0,120,"None","No Cloud","UNKNOWN BIRD",NA,"1"
"5497","BTA","EXPRESSJET (CONTINENTAL EXPRS)","EMB-120","RAIN. NO DAMAGE. 15 MIN DELAY FOR MAINT. INSPECTION.","Approach",3,2,1993-01-20,"Night","AR",200,130,"Other","Overcast","UNKNOWN BIRD - MEDIUM",NA,"1"
"5498","GLA","GREAT LAKES AIRLINES","BE-1900","DENT ON L INBOARD LE OF WING","Climb",3,2,1995-10-20,"Night","IA",4000,160,"None","Some Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"5499","DAL","DELTA AIR LINES","B-737-200","NO DAMAGE, WASHED OFF REMAINS","Approach",4,2,1994-02-15,"Night","UT",800,140,"None","No Cloud","UNKNOWN BIRD - LARGE",NA,"1"
