"","X","Facility.HHS.Code","Facility.HHS.Desc","Last.Month.in.QTR","Triage.Category","Number.of.Attendances","Variation.in.the.number.of.attendances....","Patients.Seen.within.clinically.recommended.times....","Median.Waiting.time.to.treatment..minutes.","Patients.who.did.not.wait.for.treatment....","Patients.admitted.from.the.Emergency.Department....","Admissions.to.hospital.within.4.hours...."
"4577",171,70,"Kingaroy Hospital","Mar-24","4",2312,6,53,56,4,4,11
"4578",172,70,"Kingaroy Hospital","Mar-24","5",1584,24,72,66,7,1,24
"4579",173,70,"Kingaroy Hospital","Mar-24","ALL",6423,10,59,38,4,9,8
"4580",174,71,"Maryborough Hospital","Mar-24","1",27,-7,100,0,NA,22,33
"4581",175,71,"Maryborough Hospital","Mar-24","2",1107,23,88,5,NA,37,66
"4582",176,71,"Maryborough Hospital","Mar-24","3",2596,17,53,28,2,26,47
"4583",177,71,"Maryborough Hospital","Mar-24","4",2962,9,54,52,9,8,47
"4584",178,71,"Maryborough Hospital","Mar-24","5",310,-3,82,33,12,2,67
"4585",179,71,"Maryborough Hospital","Mar-24","ALL",7002,13,61,26,5,19,53
"4586",180,72,"Monto Hospital","Mar-24","1",1,-50,100,0,NA,100,100
"4587",181,72,"Monto Hospital","Mar-24","2",29,7,100,0,NA,69,100
"4588",182,72,"Monto Hospital","Mar-24","3",78,34,99,0,NA,58,100
"4589",183,72,"Monto Hospital","Mar-24","4",221,21,99,0,1,16,100
"4590",184,72,"Monto Hospital","Mar-24","5",93,79,100,0,NA,NA,NA
"4591",185,72,"Monto Hospital","Mar-24","ALL",422,31,99,0,0,24,100
"4592",186,74,"Mundubbera Hospital","Mar-24","1",0,-100,NA,0,NA,NA,NA
"4593",187,74,"Mundubbera Hospital","Mar-24","2",18,38,89,0,NA,56,100
"4594",188,74,"Mundubbera Hospital","Mar-24","3",40,0,100,0,NA,35,100
"4595",189,74,"Mundubbera Hospital","Mar-24","4",108,6,99,0,NA,11,100
"4596",190,74,"Mundubbera Hospital","Mar-24","5",35,40,100,0,NA,3,100
"4597",191,74,"Mundubbera Hospital","Mar-24","ALL",201,11,98,0,NA,18,100
"4598",192,75,"Murgon Hospital","Mar-24","1",4,100,100,0,NA,25,NA
"4599",193,75,"Murgon Hospital","Mar-24","2",84,9,90,1,NA,44,86
"4600",194,75,"Murgon Hospital","Mar-24","3",335,40,91,2,4,25,81
"4601",195,75,"Murgon Hospital","Mar-24","4",603,2,90,7,6,7,86
"4602",196,75,"Murgon Hospital","Mar-24","5",461,87,97,2,3,4,94
"4603",197,75,"Murgon Hospital","Mar-24","ALL",1487,29,92,3,4,12,84
"4604",198,76,"Nanango Hospital","Mar-24","1",0,-100,NA,0,NA,NA,NA
"4605",199,76,"Nanango Hospital","Mar-24","2",46,31,93,0,NA,9,50
"4606",200,76,"Nanango Hospital","Mar-24","3",70,-18,91,3,1,6,75
"4607",201,76,"Nanango Hospital","Mar-24","4",281,7,93,8,1,5,85
"4608",202,76,"Nanango Hospital","Mar-24","5",747,30,99,10,2,1,90
"4609",203,76,"Nanango Hospital","Mar-24","ALL",1144,19,96,8,2,3,81
"4610",204,91,"Chinchilla Hospital","Mar-24","1",7,600,100,0,NA,57,75
"4611",205,91,"Chinchilla Hospital","Mar-24","2",133,40,82,0,2,49,89
"4612",206,91,"Chinchilla Hospital","Mar-24","3",395,17,90,3,2,31,93
"4613",207,91,"Chinchilla Hospital","Mar-24","4",859,-2,95,8,3,7,85
"4614",208,91,"Chinchilla Hospital","Mar-24","5",1059,20,99,4,3,1,75
"4615",209,91,"Chinchilla Hospital","Mar-24","ALL",2453,12,95,5,3,11,89
"4616",210,92,"Dalby Hospital","Mar-24","1",24,300,100,0,NA,29,100
"4617",211,92,"Dalby Hospital","Mar-24","2",430,19,61,8,0,57,97
"4618",212,92,"Dalby Hospital","Mar-24","3",1389,38,56,24,2,36,96
"4619",213,92,"Dalby Hospital","Mar-24","4",1583,-7,65,38,9,11,93
"4620",214,92,"Dalby Hospital","Mar-24","5",688,19,87,31,12,2,94
"4621",215,92,"Dalby Hospital","Mar-24","ALL",4114,13,64,26,6,23,96
"4622",216,93,"Goondiwindi Hospital","Mar-24","1",5,-29,100,0,NA,40,50
"4623",217,93,"Goondiwindi Hospital","Mar-24","2",151,-3,81,1,1,52,77
"4624",218,93,"Goondiwindi Hospital","Mar-24","3",599,2,88,5,1,26,60
"4625",219,93,"Goondiwindi Hospital","Mar-24","4",1315,17,92,11,5,6,65
"4626",220,93,"Goondiwindi Hospital","Mar-24","5",661,3,95,14,9,1,71
"4627",221,93,"Goondiwindi Hospital","Mar-24","ALL",2731,9,91,9,5,12,66
"4628",222,95,"Jandowae Hospital","Mar-24","1",1,NA,100,0,NA,100,100
"4629",223,95,"Jandowae Hospital","Mar-24","2",29,-3,100,0,NA,28,100
"4630",224,95,"Jandowae Hospital","Mar-24","3",109,31,95,0,NA,16,88
"4631",225,95,"Jandowae Hospital","Mar-24","4",208,102,96,0,NA,8,100
"4632",226,95,"Jandowae Hospital","Mar-24","5",199,45,100,0,1,4,100
"4633",227,95,"Jandowae Hospital","Mar-24","ALL",546,55,97,0,0,9,96
"4634",228,97,"Miles Hospital","Mar-24","1",2,-50,100,0,NA,NA,NA
"4635",229,97,"Miles Hospital","Mar-24","2",53,43,98,0,2,51,100
"4636",230,97,"Miles Hospital","Mar-24","3",202,55,96,2,1,37,93
"4637",231,97,"Miles Hospital","Mar-24","4",337,48,97,5,1,10,94
"4638",232,97,"Miles Hospital","Mar-24","5",612,11,99,10,3,3,94
"4639",233,97,"Miles Hospital","Mar-24","ALL",1206,27,98,5,2,13,95
"4640",234,98,"Millmerran Hospital","Mar-24","1",2,0,100,0,NA,NA,NA
"4641",235,98,"Millmerran Hospital","Mar-24","2",71,11,93,0,1,24,94
"4642",236,98,"Millmerran Hospital","Mar-24","3",214,53,95,3,0,17,89
"4643",237,98,"Millmerran Hospital","Mar-24","4",269,17,97,0,2,4,90
"4644",238,98,"Millmerran Hospital","Mar-24","5",158,-14,99,0,1,2,100
"4645",239,98,"Millmerran Hospital","Mar-24","ALL",714,15,96,0,1,9,91
"4646",240,99,"Oakey Hospital","Mar-24","1",1,NA,100,0,NA,NA,NA
"4647",241,99,"Oakey Hospital","Mar-24","2",29,32,97,0,NA,10,100
"4648",242,99,"Oakey Hospital","Mar-24","3",208,15,96,5,NA,13,96
"4649",243,99,"Oakey Hospital","Mar-24","4",381,6,97,5,1,4,94
"4650",244,99,"Oakey Hospital","Mar-24","5",146,11,100,3,1,3,100
"4651",245,99,"Oakey Hospital","Mar-24","ALL",765,10,97,5,1,7,96
"4652",246,100,"Stanthorpe Hospital","Mar-24","1",6,NA,100,0,NA,17,100
"4653",247,100,"Stanthorpe Hospital","Mar-24","2",293,13,81,2,0,47,75
"4654",248,100,"Stanthorpe Hospital","Mar-24","3",695,13,84,6,4,23,64
"4655",249,100,"Stanthorpe Hospital","Mar-24","4",901,20,86,8,7,6,61
"4656",250,100,"Stanthorpe Hospital","Mar-24","5",554,13,98,4,4,1,83
"4657",251,100,"Stanthorpe Hospital","Mar-24","ALL",2449,16,87,6,5,15,68
"4658",252,101,"Tara Hospital","Mar-24","1",3,50,100,0,NA,33,100
"4659",253,101,"Tara Hospital","Mar-24","2",91,28,92,0,1,26,83
"4660",254,101,"Tara Hospital","Mar-24","3",216,-8,96,0,0,24,90
"4661",255,101,"Tara Hospital","Mar-24","4",402,12,99,0,0,10,80
"4662",256,101,"Tara Hospital","Mar-24","5",655,43,100,1,1,1,89
"4663",257,101,"Tara Hospital","Mar-24","ALL",1367,21,98,0,1,9,86
"4664",258,102,"Taroom Hospital","Mar-24","1",0,-100,NA,0,NA,NA,NA
"4665",259,102,"Taroom Hospital","Mar-24","2",16,7,100,0,NA,63,100
"4666",260,102,"Taroom Hospital","Mar-24","3",48,17,100,0,NA,42,95
"4667",261,102,"Taroom Hospital","Mar-24","4",114,-9,100,0,2,10,100
"4668",262,102,"Taroom Hospital","Mar-24","5",373,0,100,0,0,1,75
"4669",263,102,"Taroom Hospital","Mar-24","ALL",551,-1,100,0,1,8,96
"4670",264,103,"Texas Hospital","Mar-24","1",1,-50,100,0,NA,NA,NA
"4671",265,103,"Texas Hospital","Mar-24","2",12,-29,100,0,NA,17,50
"4672",266,103,"Texas Hospital","Mar-24","3",52,13,92,0,2,23,83
"4673",267,103,"Texas Hospital","Mar-24","4",132,83,99,0,NA,6,100
"4674",268,103,"Texas Hospital","Mar-24","5",164,-14,99,0,2,1,NA
"4675",269,103,"Texas Hospital","Mar-24","ALL",361,10,98,0,1,6,83
"4676",270,104,"Toowoomba Hospital","Mar-24","1",125,-14,100,0,NA,75,30
"4677",271,104,"Toowoomba Hospital","Mar-24","2",3804,12,52,10,0,53,33
"4678",272,104,"Toowoomba Hospital","Mar-24","3",9278,4,50,30,3,39,33
"4679",273,104,"Toowoomba Hospital","Mar-24","4",3040,-17,66,37,6,13,38
"4680",274,104,"Toowoomba Hospital","Mar-24","5",346,-11,85,33,12,5,58
"4681",275,104,"Toowoomba Hospital","Mar-24","ALL",16593,1,54,24,3,37,33
"4682",276,105,"Warwick Hospital","Mar-24","1",55,400,100,1,NA,45,60
"4683",277,105,"Warwick Hospital","Mar-24","2",826,39,48,11,0,58,63
"4684",278,105,"Warwick Hospital","Mar-24","3",2021,10,48,33,5,30,53
"4685",279,105,"Warwick Hospital","Mar-24","4",2214,1,57,49,9,8,45
"4686",280,105,"Warwick Hospital","Mar-24","5",660,-2,83,38,10,3,56
"4687",281,105,"Warwick Hospital","Mar-24","ALL",5776,9,55,32,6,22,56
"4688",282,106,"Wandoan Hospital","Mar-24","1",0,NA,NA,0,NA,NA,NA
"4689",283,106,"Wandoan Hospital","Mar-24","2",0,-100,NA,0,NA,NA,NA
"4690",284,106,"Wandoan Hospital","Mar-24","3",2,NA,100,20,NA,NA,NA
"4691",285,106,"Wandoan Hospital","Mar-24","4",34,6,97,0,NA,NA,NA
"4692",286,106,"Wandoan Hospital","Mar-24","5",271,20,100,0,NA,NA,NA
"4693",287,106,"Wandoan Hospital","Mar-24","ALL",307,17,100,0,NA,NA,NA
"4694",288,112,"Charleville Hospital","Mar-24","1",4,NA,100,0,NA,50,50
"4695",289,112,"Charleville Hospital","Mar-24","2",88,-9,100,0,NA,64,86
"4696",290,112,"Charleville Hospital","Mar-24","3",372,21,99,2,2,31,76
"4697",291,112,"Charleville Hospital","Mar-24","4",512,-9,100,2,4,10,81
"4698",292,112,"Charleville Hospital","Mar-24","5",172,-18,100,1,4,5,100
"4699",293,112,"Charleville Hospital","Mar-24","ALL",1148,-3,99,1,3,21,80
"4700",294,113,"Cunnamulla Hospital","Mar-24","1",1,-50,100,0,NA,NA,NA
"4701",295,113,"Cunnamulla Hospital","Mar-24","2",27,-50,100,0,NA,19,80
"4702",296,113,"Cunnamulla Hospital","Mar-24","3",65,-31,100,0,NA,23,73
"4703",297,113,"Cunnamulla Hospital","Mar-24","4",122,-45,100,0,1,3,75
"4704",298,113,"Cunnamulla Hospital","Mar-24","5",97,-8,100,0,NA,4,75
"4705",299,113,"Cunnamulla Hospital","Mar-24","ALL",312,-35,100,0,0,9,75
"4706",300,114,"Dirranbandi Hospital","Mar-24","1",1,NA,100,0,NA,NA,NA
"4707",301,114,"Dirranbandi Hospital","Mar-24","2",17,-26,100,0,NA,35,83
"4708",302,114,"Dirranbandi Hospital","Mar-24","3",53,13,96,0,NA,25,69
"4709",303,114,"Dirranbandi Hospital","Mar-24","4",96,-33,100,0,1,3,100
"4710",304,114,"Dirranbandi Hospital","Mar-24","5",68,62,100,0,NA,3,100
"4711",305,114,"Dirranbandi Hospital","Mar-24","ALL",235,-8,99,0,0,10,79
"4712",306,116,"Mitchell Hospital","Mar-24","1",4,300,100,0,NA,50,100
"4713",307,116,"Mitchell Hospital","Mar-24","2",47,147,100,0,NA,57,100
"4714",308,116,"Mitchell Hospital","Mar-24","3",103,368,98,0,1,30,94
"4715",309,116,"Mitchell Hospital","Mar-24","4",107,27,99,0,2,15,100
"4716",310,116,"Mitchell Hospital","Mar-24","5",44,-47,100,5,NA,2,NA
"4717",311,116,"Mitchell Hospital","Mar-24","ALL",305,46,99,0,1,25,96
"4718",312,117,"Mungindi Hospital","Mar-24","1",3,200,100,0,NA,33,NA
"4719",313,117,"Mungindi Hospital","Mar-24","2",17,143,100,0,NA,18,100
"4720",314,117,"Mungindi Hospital","Mar-24","3",48,60,98,0,NA,25,75
"4721",315,117,"Mungindi Hospital","Mar-24","4",71,-34,99,0,NA,4,67
"4722",316,117,"Mungindi Hospital","Mar-24","5",53,33,100,0,2,2,100
"4723",317,117,"Mungindi Hospital","Mar-24","ALL",192,4,99,0,1,10,75
"4724",318,118,"Quilpie Hospital","Mar-24","1",0,-100,NA,0,NA,NA,NA
"4725",319,118,"Quilpie Hospital","Mar-24","2",23,35,100,0,NA,57,92
"4726",320,118,"Quilpie Hospital","Mar-24","3",44,29,100,0,NA,41,89
"4727",321,118,"Quilpie Hospital","Mar-24","4",98,72,100,0,NA,8,88
"4728",322,118,"Quilpie Hospital","Mar-24","5",42,20,100,0,2,2,100
"4729",323,118,"Quilpie Hospital","Mar-24","ALL",207,44,100,0,0,19,90
"4730",324,119,"Roma Hospital","Mar-24","1",10,25,100,0,NA,50,80
"4731",325,119,"Roma Hospital","Mar-24","2",256,0,100,3,0,41,43
"4732",326,119,"Roma Hospital","Mar-24","3",833,3,94,9,1,28,48
"4733",327,119,"Roma Hospital","Mar-24","4",1429,17,92,18,6,7,48
"4734",328,119,"Roma Hospital","Mar-24","5",413,6,96,18,9,4,44
"4735",329,119,"Roma Hospital","Mar-24","ALL",2941,9,94,12,4,16,47
"4736",330,120,"St George Hospital","Mar-24","1",6,500,100,0,NA,50,100
"4737",331,120,"St George Hospital","Mar-24","2",39,-7,100,0,NA,51,95
"4738",332,120,"St George Hospital","Mar-24","3",176,-21,99,1,1,33,97
"4739",333,120,"St George Hospital","Mar-24","4",501,11,100,1,1,14,93
"4740",334,120,"St George Hospital","Mar-24","5",533,-12,100,1,1,5,92
"4741",335,120,"St George Hospital","Mar-24","ALL",1255,-5,100,1,1,14,94
"4742",336,121,"Surat Hospital","Mar-24","1",2,NA,100,0,NA,50,100
"4743",337,121,"Surat Hospital","Mar-24","2",11,38,100,0,NA,9,100
"4744",338,121,"Surat Hospital","Mar-24","3",40,3,98,0,NA,38,93
"4745",339,121,"Surat Hospital","Mar-24","4",74,12,100,0,3,7,80
"4746",340,121,"Surat Hospital","Mar-24","5",62,5,100,0,NA,3,100
"4747",341,121,"Surat Hospital","Mar-24","ALL",189,10,99,0,1,13,92
"4748",342,133,"Biloela Hospital","Mar-24","1",9,50,100,0,NA,22,50
"4749",343,133,"Biloela Hospital","Mar-24","2",246,94,70,3,NA,29,66
"4750",344,133,"Biloela Hospital","Mar-24","3",702,21,72,8,4,11,57
"4751",345,133,"Biloela Hospital","Mar-24","4",796,-8,85,11,6,4,63
"4752",346,133,"Biloela Hospital","Mar-24","5",432,-11,95,10,8,3,100
"4753",347,133,"Biloela Hospital","Mar-24","ALL",2185,6,80,8,5,9,64
"4754",348,134,"Blackwater Hospital","Mar-24","1",6,200,100,0,NA,NA,NA
"4755",349,134,"Blackwater Hospital","Mar-24","2",146,1,93,0,NA,5,71
"4756",350,134,"Blackwater Hospital","Mar-24","3",426,19,94,5,2,3,85
"4757",351,134,"Blackwater Hospital","Mar-24","4",992,53,96,3,2,1,86
"4758",352,134,"Blackwater Hospital","Mar-24","5",192,-17,99,6,4,NA,NA
"4759",353,134,"Blackwater Hospital","Mar-24","ALL",1762,27,96,3,2,2,81
"4760",354,135,"Emerald Hospital","Mar-24","1",16,100,100,0,NA,63,80
"4761",355,135,"Emerald Hospital","Mar-24","2",507,18,79,5,NA,49,73
"4762",356,135,"Emerald Hospital","Mar-24","3",1515,17,63,22,1,25,66
"4763",357,135,"Emerald Hospital","Mar-24","4",1871,2,63,37,7,4,59
"4764",358,135,"Emerald Hospital","Mar-24","5",415,-15,74,45,12,1,75
"4765",359,135,"Emerald Hospital","Mar-24","ALL",4324,6,66,23,5,16,68
"4766",360,136,"Gladstone Hospital","Mar-24","1",55,129,100,0,NA,56,32
"4767",361,136,"Gladstone Hospital","Mar-24","2",1224,14,71,6,0,41,40
"4768",362,136,"Gladstone Hospital","Mar-24","3",3572,9,81,14,2,22,30
"4769",363,136,"Gladstone Hospital","Mar-24","4",4642,14,92,15,5,6,29
"4770",364,136,"Gladstone Hospital","Mar-24","5",511,-20,94,19,11,2,78
"4771",365,136,"Gladstone Hospital","Mar-24","ALL",10004,10,86,13,4,16,33
"4772",366,139,"Mount Morgan Hospital","Mar-24","1",1,-67,100,0,NA,NA,NA
"4773",367,139,"Mount Morgan Hospital","Mar-24","2",134,38,90,0,NA,17,65
"4774",368,139,"Mount Morgan Hospital","Mar-24","3",385,13,85,0,2,9,53
"4775",369,139,"Mount Morgan Hospital","Mar-24","4",353,28,96,2,2,3,30
"4776",370,139,"Mount Morgan Hospital","Mar-24","5",46,12,97,1,7,NA,NA
"4777",371,139,"Mount Morgan Hospital","Mar-24","ALL",919,21,90,0,2,7,54
"4778",372,140,"Moura Hospital","Mar-24","1",1,NA,100,0,NA,100,100
"4779",373,140,"Moura Hospital","Mar-24","2",46,7,89,0,NA,48,100
"4780",374,140,"Moura Hospital","Mar-24","3",126,34,97,0,2,30,97
"4781",375,140,"Moura Hospital","Mar-24","4",206,10,96,0,1,4,88
"4782",376,140,"Moura Hospital","Mar-24","5",187,-30,100,0,2,1,100
"4783",377,140,"Moura Hospital","Mar-24","ALL",566,-4,97,0,1,12,97
"4784",378,141,"Rockhampton Hospital","Mar-24","1",87,55,100,0,NA,63,36
"4785",379,141,"Rockhampton Hospital","Mar-24","2",2185,5,87,5,0,44,22
"4786",380,141,"Rockhampton Hospital","Mar-24","3",6467,4,58,22,4,28,20
"4787",381,141,"Rockhampton Hospital","Mar-24","4",4118,-10,67,29,8,10,15
"4788",382,141,"Rockhampton Hospital","Mar-24","5",518,10,86,24,9,3,29
"4789",383,141,"Rockhampton Hospital","Mar-24","ALL",13375,0,67,15,4,24,20
"4790",384,142,"Springsure Hospital","Mar-24","1",0,NA,NA,0,NA,NA,NA
"4791",385,142,"Springsure Hospital","Mar-24","2",15,-46,100,0,NA,33,100
"4792",386,142,"Springsure Hospital","Mar-24","3",79,0,97,0,NA,23,72
"4793",387,142,"Springsure Hospital","Mar-24","4",150,8,100,0,1,5,71
"4794",388,142,"Springsure Hospital","Mar-24","5",198,38,100,0,1,1,100
"4795",389,142,"Springsure Hospital","Mar-24","ALL",442,14,99,0,0,7,77
"4796",390,144,"Capricorn Coast Hospital","Mar-24","1",20,150,100,0,NA,20,NA
"4797",391,144,"Capricorn Coast Hospital","Mar-24","2",515,26,80,3,2,17,40
"4798",392,144,"Capricorn Coast Hospital","Mar-24","3",1694,8,56,24,6,11,24
"4799",393,144,"Capricorn Coast Hospital","Mar-24","4",2380,15,71,25,11,3,26
"4800",394,144,"Capricorn Coast Hospital","Mar-24","5",392,23,94,21,13,1,40
"4801",395,144,"Capricorn Coast Hospital","Mar-24","ALL",5001,15,68,20,8,7,29
"4802",396,145,"Woorabinda Hospital","Mar-24","1",2,-33,100,0,NA,NA,NA
"4803",397,145,"Woorabinda Hospital","Mar-24","2",103,20,95,0,2,11,64
"4804",398,145,"Woorabinda Hospital","Mar-24","3",383,7,99,0,3,10,90
"4805",399,145,"Woorabinda Hospital","Mar-24","4",202,15,99,0,3,7,80
"4806",400,145,"Woorabinda Hospital","Mar-24","5",120,-46,100,0,2,NA,NA
"4807",401,145,"Woorabinda Hospital","Mar-24","ALL",810,-4,99,0,3,8,83
"4808",402,152,"Barcaldine Hospital","Mar-24","1",3,0,100,0,NA,67,NA
"4809",403,152,"Barcaldine Hospital","Mar-24","2",31,-37,100,0,NA,48,100
"4810",404,152,"Barcaldine Hospital","Mar-24","3",109,-15,93,0,3,41,76
"4811",405,152,"Barcaldine Hospital","Mar-24","4",213,8,99,0,2,16,94
"4812",406,152,"Barcaldine Hospital","Mar-24","5",135,-1,99,0,3,4,100
"4813",407,152,"Barcaldine Hospital","Mar-24","ALL",491,-4,98,0,2,21,85
"4814",408,153,"Blackall Hospital","Mar-24","1",2,0,100,0,NA,50,100
"4815",409,153,"Blackall Hospital","Mar-24","2",28,33,89,0,NA,54,93
"4816",410,153,"Blackall Hospital","Mar-24","3",94,-13,98,0,1,38,86
"4817",411,153,"Blackall Hospital","Mar-24","4",165,11,100,0,1,11,100
"4818",412,153,"Blackall Hospital","Mar-24","5",78,-7,100,0,1,9,100
"4819",413,153,"Blackall Hospital","Mar-24","ALL",367,1,99,0,1,21,92
"4820",414,156,"Longreach Hospital","Mar-24","1",3,50,100,0,NA,67,100
"4821",415,156,"Longreach Hospital","Mar-24","2",88,-18,94,0,NA,49,81
"4822",416,156,"Longreach Hospital","Mar-24","3",246,-5,94,4,0,35,80
"4823",417,156,"Longreach Hospital","Mar-24","4",407,-5,97,10,4,10,69
"4824",418,156,"Longreach Hospital","Mar-24","5",644,77,99,9,6,4,87
"4825",419,156,"Longreach Hospital","Mar-24","ALL",1388,20,97,7,4,14,79
"4826",420,159,"Winton Hospital","Mar-24","1",0,NA,NA,0,NA,NA,NA
"4827",421,159,"Winton Hospital","Mar-24","2",27,145,96,0,NA,63,76
"4828",422,159,"Winton Hospital","Mar-24","3",58,5,90,0,NA,33,89
"4829",423,159,"Winton Hospital","Mar-24","4",112,32,96,0,1,13,87
"4830",424,159,"Winton Hospital","Mar-24","5",56,-5,96,5,NA,NA,NA
"4831",425,159,"Winton Hospital","Mar-24","ALL",253,20,95,0,0,20,84
"4832",426,171,"Clermont Hospital","Mar-24","1",5,67,100,0,NA,40,100
"4833",427,171,"Clermont Hospital","Mar-24","2",77,-15,92,0,NA,35,96
"4834",428,171,"Clermont Hospital","Mar-24","3",176,-27,97,0,1,25,98
"4835",429,171,"Clermont Hospital","Mar-24","4",273,-24,99,0,0,6,100
"4836",430,171,"Clermont Hospital","Mar-24","5",280,6,99,0,3,0,100
"4837",431,171,"Clermont Hospital","Mar-24","ALL",811,-15,98,0,1,11,98
"4838",432,172,"Mackay Base Hospital","Mar-24","1",97,35,100,1,NA,75,41
"4839",433,172,"Mackay Base Hospital","Mar-24","2",3614,10,100,7,0,50,22
"4840",434,172,"Mackay Base Hospital","Mar-24","3",6565,10,86,15,2,33,24
"4841",435,172,"Mackay Base Hospital","Mar-24","4",3070,-8,90,25,4,10,32
"4842",436,172,"Mackay Base Hospital","Mar-24","5",572,25,98,27,6,3,25
"4843",437,172,"Mackay Base Hospital","Mar-24","ALL",13918,6,91,10,2,32,24
"4844",438,173,"Moranbah Hospital","Mar-24","1",2,100,100,0,NA,50,100
"4845",439,173,"Moranbah Hospital","Mar-24","2",154,-27,92,0,1,22,82
"4846",440,173,"Moranbah Hospital","Mar-24","3",435,-10,92,4,1,10,84
"4847",441,173,"Moranbah Hospital","Mar-24","4",597,23,96,5,1,2,92
"4848",442,173,"Moranbah Hospital","Mar-24","5",571,37,99,10,2,0,100
"4849",443,173,"Moranbah Hospital","Mar-24","ALL",1759,10,95,5,1,5,85
"4850",444,174,"Proserpine Hospital","Mar-24","1",27,29,100,0,NA,44,50
"4851",445,174,"Proserpine Hospital","Mar-24","2",401,5,94,3,0,29,49
"4852",446,174,"Proserpine Hospital","Mar-24","3",1341,17,89,11,1,21,43
"4853",447,174,"Proserpine Hospital","Mar-24","4",2009,2,90,16,2,5,43
"4854",448,174,"Proserpine Hospital","Mar-24","5",831,16,94,17,6,1,40
"4855",449,174,"Proserpine Hospital","Mar-24","ALL",4609,9,91,12,2,11,44
"4856",450,175,"Sarina Hospital","Mar-24","1",3,50,100,0,NA,33,100
"4857",451,175,"Sarina Hospital","Mar-24","2",124,33,84,0,NA,31,100
"4858",452,175,"Sarina Hospital","Mar-24","3",353,10,94,5,1,7,92
"4859",453,175,"Sarina Hospital","Mar-24","4",872,52,98,5,1,1,100
"4860",454,175,"Sarina Hospital","Mar-24","5",452,46,100,8,1,1,100
"4861",455,175,"Sarina Hospital","Mar-24","ALL",1804,39,96,5,1,5,98
"4862",456,176,"Dysart Hospital","Mar-24","1",5,NA,100,0,NA,60,67
"4863",457,176,"Dysart Hospital","Mar-24","2",84,42,93,0,1,48,100
"4864",458,176,"Dysart Hospital","Mar-24","3",219,-14,96,0,1,26,98
"4865",459,176,"Dysart Hospital","Mar-24","4",283,2,99,1,2,8,100
"4866",460,176,"Dysart Hospital","Mar-24","5",136,60,100,0,1,6,88
"4867",461,176,"Dysart Hospital","Mar-24","ALL",727,8,98,0,2,18,98
"4868",462,191,"Ayr Hospital","Mar-24","1",18,50,100,0,NA,6,100
"4869",463,191,"Ayr Hospital","Mar-24","2",206,-1,100,0,NA,40,80
"4870",464,191,"Ayr Hospital","Mar-24","3",997,10,93,0,1,26,73
"4871",465,191,"Ayr Hospital","Mar-24","4",1893,26,95,0,3,5,59
"4872",466,191,"Ayr Hospital","Mar-24","5",510,30,97,0,9,1,67
"4873",467,191,"Ayr Hospital","Mar-24","ALL",3624,20,95,0,3,12,71
"4874",468,192,"Bowen Hospital","Mar-24","1",20,186,100,0,NA,20,NA
"4875",469,192,"Bowen Hospital","Mar-24","2",263,23,92,0,1,29,31
"4876",470,192,"Bowen Hospital","Mar-24","3",1041,19,93,0,2,17,31
"4877",471,192,"Bowen Hospital","Mar-24","4",1788,14,94,0,4,3,32
"4878",472,192,"Bowen Hospital","Mar-24","5",539,2,98,0,4,0,100
"4879",473,192,"Bowen Hospital","Mar-24","ALL",3651,15,94,0,3,9,31
"4880",474,193,"Charters Towers Hospital","Mar-24","1",10,-23,100,0,NA,20,100
"4881",475,193,"Charters Towers Hospital","Mar-24","2",173,10,100,0,NA,46,97
"4882",476,193,"Charters Towers Hospital","Mar-24","3",576,31,85,8,1,31,94
"4883",477,193,"Charters Towers Hospital","Mar-24","4",1214,10,92,10,3,9,96
"4884",478,193,"Charters Towers Hospital","Mar-24","5",694,13,98,6,6,2,93
"4885",479,193,"Charters Towers Hospital","Mar-24","ALL",2667,14,92,7,3,15,95
"4886",480,196,"Ingham Hospital","Mar-24","1",13,160,100,0,NA,23,67
"4887",481,196,"Ingham Hospital","Mar-24","2",233,16,96,0,NA,52,82
"4888",482,196,"Ingham Hospital","Mar-24","3",762,-2,87,0,1,32,70
"4889",483,196,"Ingham Hospital","Mar-24","4",1055,39,91,0,3,13,70
"4890",484,196,"Ingham Hospital","Mar-24","5",596,43,98,1,4,7,95
"4891",485,196,"Ingham Hospital","Mar-24","ALL",2659,23,91,0,2,20,74
"4892",486,197,"Joyce Palmer Health Service","Mar-24","1",3,-40,100,0,NA,33,NA
"4893",487,197,"Joyce Palmer Health Service","Mar-24","2",157,37,99,0,1,38,71
"4894",488,197,"Joyce Palmer Health Service","Mar-24","3",505,9,96,3,5,23,79
"4895",489,197,"Joyce Palmer Health Service","Mar-24","4",499,-13,98,4,8,11,75
"4896",490,197,"Joyce Palmer Health Service","Mar-24","5",392,-18,100,3,10,1,60
"4897",491,197,"Joyce Palmer Health Service","Mar-24","ALL",1556,-5,98,3,7,15,75
"4898",492,200,"Townsville University Hospital","Mar-24","1",158,-14,100,0,NA,84,60
"4899",493,200,"Townsville University Hospital","Mar-24","2",3622,11,78,5,0,48,28
"4900",494,200,"Townsville University Hospital","Mar-24","3",12753,-2,70,17,4,30,21
"4901",495,200,"Townsville University Hospital","Mar-24","4",7650,6,74,27,8,16,23
"4902",496,200,"Townsville University Hospital","Mar-24","5",967,88,90,29,10,5,33
"4903",497,200,"Townsville University Hospital","Mar-24","ALL",25150,4,74,16,5,28,24
