"","age","cups","where_drink","purchase_other","favourite","favorite_specify","additions","additions_other","sweetener","style","strength","roast_level","caffeine","expertise","coffee_a_bitterness","coffee_a_acidity","coffee_a_personal_preference","coffee_b_bitterness","coffee_b_acidity","coffee_b_personal_preference","coffee_c_bitterness","coffee_c_acidity","coffee_c_personal_preference","coffee_d_bitterness","coffee_d_acidity","coffee_d_personal_preference","prefer_abc","prefer_ad","prefer_overall","wfh","total_spend","know_source","most_paid","most_willing","value_cafe","spent_equipment","value_equipment","gender","education_level","employment_status","number_children","political_affiliation"
"2306","35-44 years old","2","At home, At the office",NA,"Cappuccino",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Nutty","Somewhat strong","Medium","Full caffeine",6,2,4,2,4,3,3,3,3,4,1,5,5,"Coffee C","Coffee D","Coffee D","I do a mix of both","$40-$60","Yes","$8-$10","$8-$10","Yes","$100-$300","Yes","Male","Master's degree","Employed full-time","2","Republican"
"2307","35-44 years old","1","At home, At the office, On the go, At a cafe",NA,"Americano",NA,"No - just black",NA,NA,"Fruity","Somewhat strong","Light","Full caffeine",5,3,3,4,2,1,3,2,2,4,1,4,5,"Coffee A","Coffee D","Coffee D","I primarily work from home","$40-$60","Yes","$8-$10","$15-$20","Yes","More than $1,000","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
"2308","35-44 years old","3","At home",NA,"Espresso",NA,"No - just black",NA,NA,"Fruity","Very strong","Light","Full caffeine",8,5,3,4,3,2,3,1,2,3,2,5,5,"Coffee A","Coffee D","Coffee D","I primarily work from home","$20-$40","Yes","$4-$6","$4-$6","No","$300-$500","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
"2309","25-34 years old","1","At home",NA,"Pourover",NA,"No - just black",NA,NA,"Juicy","Medium","Light","Full caffeine",5,2,2,4,1,1,2,2,2,3,3,3,5,"Coffee A","Coffee D","Coffee D","I primarily work from home","$60-$80","Yes","$15-$20","More than $20","Yes","More than $1,000","Yes","Male",NA,NA,"None",NA
"2310","25-34 years old","1","At home, At a cafe",NA,"Latte",NA,"Sugar or sweetener, Flavor syrup, Milk, dairy alternative, or coffee creamer",NA,"Maple Syrup, Granulated Sugar","Caramalized","Somewhat strong","Light","Full caffeine",6,2,5,5,3,3,3,4,2,2,1,5,4,"Coffee A","Coffee A","Coffee A","I primarily work from home","$40-$60","Yes","$10-$15","$15-$20","Yes","$100-$300","Yes","Female","Master's degree","Employed full-time","None","Independent"
"2311","25-34 years old","2","At home",NA,"Regular drip coffee",NA,"No - just black",NA,NA,"Fruity","Somewhat light","Medium","Full caffeine",5,1,4,4,2,2,3,2,1,3,1,4,5,"Coffee A","Coffee D","Coffee D","I do a mix of both","$20-$40","Yes","$4-$6","$8-$10","No","$20-$50","Yes","Non-binary","Some college or associate's degree","Employed full-time","None","Democrat"
"2312",">65 years old","1","At the office",NA,"Regular drip coffee",NA,"No - just black",NA,NA,"Bright","Weak","Light","Decaf",3,2,2,3,2,3,3,2,3,2,3,3,3,"Coffee B","Coffee D","Coffee D","I primarily work in person","<$20","No","$2-$4","$2-$4","Yes","$20-$50","Yes","Male","Doctorate or professional degree","Employed full-time","3","No affiliation"
"2313","25-34 years old","1","At home, At the office, On the go",NA,"Other","affogato","Sugar or sweetener, Milk, dairy alternative, or coffee creamer",NA,"Granulated Sugar","Floral","Somewhat light","Medium","Full caffeine",4,2,4,3,5,4,2,2,2,4,4,4,1,"Coffee C","Coffee A","Coffee C","I primarily work in person","<$20","No","$8-$10","$8-$10","Yes","$20-$50","No","Female","Bachelor's degree","Employed part-time","1","No affiliation"
"2314","25-34 years old","2","At home, At a cafe",NA,"Cappuccino",NA,"Milk, dairy alternative, or coffee creamer, Flavor syrup",NA,NA,"Bright","Medium","Medium","Full caffeine",6,1,4,4,1,5,3,3,2,5,4,2,3,"Coffee C","Coffee A","Coffee C","I primarily work in person","$40-$60","Yes","$10-$15","$15-$20","Yes","$100-$300","Yes","Male","Master's degree","Unemployed","None","No affiliation"
"2315","18-24 years old","2","At a cafe, At home, At the office",NA,"Pourover",NA,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",NA,"Granulated Sugar","Caramalized","Somewhat strong","Medium","Full caffeine",5,1,2,4,1,2,5,2,4,3,3,4,3,"Coffee B","Coffee A","Coffee B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2316","35-44 years old","Less than 1","At home",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",NA,"Granulated Sugar","Sweet","Somewhat strong","Medium",NA,4,1,2,4,2,2,3,3,1,2,1,3,5,"Coffee A","Coffee D","Coffee D","I primarily work from home",NA,NA,"$8-$10","$8-$10","Yes","$500-$1000","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
"2317","45-54 years old","1","At home",NA,"Iced coffee",NA,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",NA,"Granulated Sugar","Full Bodied","Somewhat light","Light","Full caffeine",1,1,5,4,3,1,5,5,3,2,4,4,3,"Coffee B","Coffee A","Coffee B","I primarily work in person","$20-$40","No","$6-$8","$6-$8","No","$100-$300","Yes","Female","Some college or associate's degree","Employed full-time","2","Democrat"
"2318","25-34 years old","2","At a cafe, On the go, At home",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer, Flavor syrup",NA,NA,"Nutty","Medium","Medium","Full caffeine",5,5,5,1,5,4,2,3,3,5,4,3,2,"Coffee C","Coffee D","Coffee C","I primarily work from home","$80-$100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2319","25-34 years old","1","At home",NA,"Cortado",NA,"No - just black",NA,NA,"Juicy","Somewhat strong","Light","Full caffeine",8,4,3,2,5,1,3,2,4,3,1,4,5,"Coffee A","Coffee D","Coffee D","I primarily work in person","$20-$40","Yes","$10-$15","More than $20","Yes","$300-$500","Yes","Male","Doctorate or professional degree","Employed full-time","None","Democrat"
"2320","25-34 years old","2","At the office, At home, At a cafe",NA,"Latte",NA,"No - just black",NA,NA,"Sweet","Somewhat strong","Light","Full caffeine",7,5,5,1,4,2,3,3,1,4,2,3,5,"Coffee C","Coffee D","Coffee D","I primarily work from home","$20-$40","Yes","$10-$15","More than $20","Yes","More than $1,000","Yes","Male","Some college or associate's degree","Employed full-time","None","Democrat"
"2321","25-34 years old","2","At home, At the office",NA,"Pourover",NA,"No - just black",NA,NA,"Sweet","Medium","Medium","Full caffeine",2,2,4,4,2,2,5,1,4,3,3,4,3,"Coffee B","Coffee A","Coffee B","I primarily work from home","$20-$40","No","$6-$8","$4-$6","Yes","Less than $20","Yes","Female","Bachelor's degree","Employed full-time","None","Democrat"
"2322","45-54 years old","1","At home",NA,"Pourover",NA,"No - just black",NA,NA,"Juicy","Medium","Light","Full caffeine",5,2,4,4,4,2,2,4,1,2,4,4,3,"Coffee A","Coffee A","Coffee A","I primarily work from home","$80-$100","Yes","$6-$8","$8-$10","No","More than $1,000","No","Male","Bachelor's degree","Unemployed","More than 3","No affiliation"
"2323","25-34 years old","1","At home, At a cafe, At the office",NA,"Regular drip coffee",NA,"No - just black",NA,NA,"Full Bodied","Somewhat strong","Medium","Decaf",5,1,4,4,3,1,5,4,3,2,2,3,3,"Coffee B","Coffee A","Coffee B","I primarily work in person","$20-$40","No","$6-$8","$8-$10","Yes","$50-$100","Yes","Male","Master's degree","Employed full-time","None","Independent"
"2324","18-24 years old","2","At the office, At a cafe, On the go",NA,"Pourover",NA,"No - just black",NA,NA,"Fruity","Medium","Light","Full caffeine",7,2,3,4,4,1,3,1,4,2,1,5,5,"Coffee A","Coffee D","Coffee D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2325","25-34 years old","1","At home",NA,"Americano",NA,"No - just black",NA,NA,"Sweet","Medium","Light","Full caffeine",6,3,4,1,4,3,2,3,3,1,2,2,3,"Coffee B","Coffee D","Coffee D","I primarily work from home","$20-$40","Yes","$8-$10","$8-$10","Yes","$300-$500","Yes","Female","Doctorate or professional degree","Employed full-time","None","Democrat"
"2326","35-44 years old","2","At home",NA,"Espresso",NA,"No - just black",NA,NA,"Bright","Medium","Light","Full caffeine",7,3,5,5,3,1,1,4,4,2,3,4,5,"Coffee A","Coffee A","Coffee A","I primarily work from home","$40-$60","Yes","$6-$8","$6-$8","Yes","More than $1,000","Yes","Male","Bachelor's degree","Employed full-time","1","No affiliation"
"2327","18-24 years old","1","At home",NA,"Americano",NA,"No - just black",NA,NA,"Caramalized","Somewhat strong","Light","Full caffeine",1,1,3,4,4,2,3,3,2,1,1,3,5,"Coffee A","Coffee D","Coffee D","I primarily work in person","<$20","No","$10-$15","$4-$6","No","Less than $20","Yes","Female","Master's degree","Student","None","No affiliation"
"2328","25-34 years old","1","At home",NA,"Mocha",NA,"No - just black",NA,NA,"Nutty","Medium","Medium","Full caffeine",4,2,3,3,4,2,2,3,4,1,1,3,4,"Coffee A","Coffee D","Coffee D","I primarily work from home","$20-$40","No","$6-$8","$4-$6","Yes","$100-$300","Yes","Male","Bachelor's degree","Unemployed","None","Democrat"
"2329","25-34 years old","2","At home, At a cafe",NA,"Cortado",NA,"Milk, dairy alternative, or coffee creamer, No - just black",NA,NA,"Bright","Somewhat strong","Light","Full caffeine",6,2,4,4,3,2,3,2,1,2,1,4,3,"Coffee A","Coffee D","Coffee D","I primarily work from home","$20-$40","Yes","$6-$8","$6-$8","Yes","More than $1,000","Yes","Non-binary","Bachelor's degree","Employed full-time","None","Democrat"
"2330",">65 years old","1","At home",NA,"Pourover",NA,"No - just black",NA,NA,"Chocolatey","Medium","Light","Full caffeine",2,1,3,3,1,1,4,3,1,2,1,4,1,"Coffee B","Coffee A","Coffee B",NA,"$40-$60","Yes","$8-$10","$8-$10","Yes","$500-$1000","Yes","Female","Bachelor's degree","Retired","None","Democrat"
"2331","18-24 years old","1","At the office, On the go",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Floral","Somewhat strong","Light","Full caffeine",3,2,5,2,2,3,2,4,2,3,4,3,5,"Coffee A","Coffee A","Coffee A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2332","25-34 years old","3","At home, At the office",NA,"Espresso",NA,"No - just black",NA,NA,"Full Bodied","Very strong","Medium","Full caffeine",7,2,4,2,4,1,4,3,3,4,2,4,2,"Coffee B","Coffee A","Coffee B","I primarily work in person","$60-$80","Yes","$8-$10","$8-$10","Yes","More than $1,000","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
"2333","45-54 years old","1","At the office",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Chocolatey","Medium","French","Half caff",3,4,3,2,3,1,4,1,1,3,1,5,1,"Coffee B","Coffee A","Coffee B","I primarily work in person","$80-$100","No","$6-$8","$8-$10","No","More than $1,000","Yes","Female","Master's degree","Employed full-time","1","Democrat"
"2334","35-44 years old","2","At home, At a cafe, At the office",NA,"Americano",NA,"No - just black",NA,NA,"Full Bodied","Somewhat strong","Medium","Full caffeine",4,2,2,1,3,3,4,3,3,3,2,4,2,"Coffee B","Coffee D","Coffee B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2335","35-44 years old","1","On the go, At home, At a cafe",NA,"Cold brew",NA,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",NA,"Granulated Sugar, Raw Sugar (Turbinado)","Chocolatey","Medium","Medium","Full caffeine",2,2,5,4,2,3,4,3,3,5,4,3,3,"Coffee C","Coffee A","Coffee C","I primarily work in person","$20-$40","Yes","$8-$10","$10-$15","Yes","$50-$100","Yes","Female","Bachelor's degree","Student","None","Democrat"
"2336","25-34 years old","3","At home, On the go",NA,"Latte",NA,"Sugar or sweetener, Milk, dairy alternative, or coffee creamer, No - just black",NA,"Granulated Sugar","Full Bodied","Somewhat strong","Dark","Full caffeine",4,2,4,4,4,2,4,4,2,2,3,2,3,"Coffee A","Coffee A","Coffee A","I primarily work from home","$20-$40","No","$4-$6","More than $20","No","$300-$500","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
"2337","18-24 years old","1","At home",NA,"Pourover",NA,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",NA,"Granulated Sugar, Raw Sugar (Turbinado)","Bold","Somewhat strong","Dark","Full caffeine",6,1,4,1,4,2,3,2,2,3,1,3,1,"Coffee C","Coffee A","Coffee C",NA,"<$20","No","$4-$6","$4-$6","No","$100-$300","Yes","Male","Some college or associate's degree","Student","None","Democrat"
"2338","25-34 years old","3","At home",NA,"Espresso",NA,"No - just black",NA,NA,"Bright","Medium","Light","Full caffeine",8,1,3,4,3,2,3,1,4,2,1,5,2,"Coffee A","Coffee A","Coffee A","I primarily work from home",">$100","Yes","$8-$10","$15-$20","Yes","More than $1,000","Yes","Male","Master's degree","Employed full-time","2",NA
"2339","25-34 years old","1","At the office, At home",NA,"Mocha",NA,"No - just black",NA,NA,"Chocolatey","Medium","Light","Full caffeine",7,1,4,4,2,1,3,2,2,5,2,3,3,"Coffee C","Coffee A","Coffee C","I do a mix of both","$40-$60","Yes","$4-$6","$6-$8","Yes","$50-$100","Yes","Male","Bachelor's degree","Employed full-time","None","Independent"
"2340","35-44 years old","2","At home, At a cafe",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer, Flavor syrup",NA,NA,"Sweet","Somewhat strong","Medium","Full caffeine",6,1,5,5,4,2,3,3,2,3,2,4,2,"Coffee A","Coffee A","Coffee A","I primarily work from home","$40-$60","Yes","$10-$15","More than $20","No","More than $1,000","Yes","Male","Master's degree","Employed full-time","None","Democrat"
"2341","45-54 years old","1","At home",NA,"Cappuccino",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Bold","Very strong","Dark","Full caffeine",1,2,3,2,3,3,4,4,5,3,5,5,1,"Coffee B","Coffee A","Coffee B","I primarily work from home","$40-$60","No","$8-$10","$6-$8","Yes","$100-$300","Yes","Female","Bachelor's degree","Employed full-time","None","Democrat"
"2342","25-34 years old","2","At home, At the office",NA,"Regular drip coffee",NA,"No - just black",NA,NA,"Bright","Somewhat strong","Light","Full caffeine",6,1,3,4,1,2,4,3,1,3,1,4,4,"Coffee A","Coffee D","Coffee D","I primarily work in person","$60-$80","Yes","$15-$20",NA,NA,"$500-$1000","Yes","Male","Master's degree","Employed full-time","None","Democrat"
"2343","45-54 years old","1","At home",NA,"Latte",NA,"No - just black, Milk, dairy alternative, or coffee creamer",NA,NA,"Fruity","Very strong","Light","Decaf",5,2,3,5,3,1,3,4,1,2,1,5,5,"Coffee A","Coffee D","Coffee D","I do a mix of both","$40-$60","No","$6-$8","$6-$8","Yes","$100-$300","Yes","Male","Bachelor's degree","Unemployed","None","Democrat"
"2344","18-24 years old","2","At home, At a cafe",NA,"Mocha",NA,"No - just black, Milk, dairy alternative, or coffee creamer",NA,NA,"Fruity","Medium","Light","Full caffeine",7,2,4,5,3,3,2,3,2,3,2,4,4,"Coffee A","Coffee A","Coffee B","I primarily work in person","$20-$40","Yes","$6-$8","More than $20","Yes","$100-$300","Yes","Male","Some college or associate's degree","Student","None","Independent"
"2345","55-64 years old","3","At home, On the go",NA,"Pourover",NA,"No - just black",NA,NA,"Full Bodied","Somewhat strong","Medium","Full caffeine",7,2,3,2,2,3,4,2,2,3,2,2,4,"Coffee C","Coffee D","Coffee D","I do a mix of both","$60-$80","Yes","$6-$8","$15-$20","No","More than $1,000","Yes","Male","Some college or associate's degree","Employed part-time","None","Republican"
"2346","25-34 years old","2","At home",NA,"Pourover",NA,"No - just black",NA,NA,"Fruity","Somewhat strong","Light","Full caffeine",8,1,3,4,2,2,2,2,2,3,1,4,5,"Coffee A","Coffee D","Coffee D","I primarily work from home","$60-$80","Yes","$15-$20","$15-$20",NA,"$300-$500","Yes","Female","Bachelor's degree","Employed full-time","None","Democrat"
"2347","35-44 years old","1","At home",NA,"Espresso",NA,"No - just black",NA,NA,"Sweet","Somewhat strong","Medium","Full caffeine",7,2,4,3,3,3,4,3,2,4,4,3,5,"Coffee C","Coffee D","Coffee D","I primarily work from home","$40-$60","No","$4-$6","$4-$6","Yes","More than $1,000","Yes","Male","Bachelor's degree","Employed full-time","1","No affiliation"
"2348","35-44 years old","1","At home",NA,"Americano",NA,"No - just black",NA,NA,"Full Bodied","Somewhat strong","Medium","Full caffeine",5,3,4,3,3,2,4,4,3,3,4,5,2,"Coffee B","Coffee A","Coffee D","I do a mix of both","$20-$40","No","$6-$8","$6-$8","Yes","$100-$300","Yes","Male","Bachelor's degree","Employed full-time","None","No affiliation"
"2349","55-64 years old","2",NA,NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Bold","Somewhat strong","Italian","Full caffeine",8,3,3,3,3,3,3,3,4,4,3,3,5,"Coffee C","Coffee D","Coffee D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2350","25-34 years old","2","At a cafe, At home",NA,"Regular drip coffee",NA,"No - just black",NA,NA,"Bright","Somewhat strong","Light","Full caffeine",9,2,4,4,3,2,3,2,3,4,1,4,3,"Coffee A","Coffee A","Coffee A","I do a mix of both","$40-$60","Yes","$6-$8","$8-$10","Yes","$500-$1000","Yes","Male","Master's degree","Employed full-time","None","Democrat"
"2351","25-34 years old","2","At home, At a cafe",NA,"Espresso",NA,"No - just black",NA,NA,"Juicy","Medium","Light","Full caffeine",8,1,4,5,4,2,2,3,2,2,2,4,5,"Coffee A","Coffee A","Coffee A","I primarily work from home","$40-$60","Yes","$10-$15","More than $20","Yes","$500-$1000","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
"2352","35-44 years old","Less than 1","At home, At a cafe",NA,"Blended drink (e.g. Frappuccino)",NA,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",NA,"Granulated Sugar, Artificial Sweeteners (e.g., Splenda)","Fruity","Somewhat strong","Light","Full caffeine",6,1,5,3,1,2,2,4,2,1,2,4,5,"Coffee A","Coffee D","Coffee D","I primarily work in person","$20-$40","Yes","$4-$6","$15-$20","No","$300-$500","No","Male","Some college or associate's degree","Employed full-time","1","Independent"
"2353","45-54 years old","1","At home, At a cafe",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Bold","Somewhat strong","Dark","Full caffeine",4,1,3,2,1,1,4,3,3,4,3,3,3,"Coffee C","Coffee D","Coffee A","I primarily work in person","$20-$40","Yes","$6-$8","$8-$10","Yes","$300-$500","Yes","Female","Bachelor's degree","Homemaker","More than 3","Independent"
"2354","25-34 years old","Less than 1","None of these",NA,"Latte",NA,"No - just black",NA,NA,"Full Bodied","Somewhat strong","Medium","Decaf",2,2,4,2,3,3,4,2,4,3,1,5,1,"Coffee B","Coffee A","Coffee B","I primarily work from home","<$20","Yes","$8-$10","$8-$10","Yes","$100-$300","Yes","Female","Master's degree","Student","None","Democrat"
"2355","25-34 years old",NA,"At home, On the go, At the office","Office","Cortado",NA,"No - just black, Milk, dairy alternative, or coffee creamer",NA,NA,"Chocolatey","Medium","Dark","Full caffeine",3,1,5,2,3,2,5,3,4,3,4,1,5,"Coffee B","Coffee D","Coffee D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2356","18-24 years old","Less than 1","At a cafe",NA,"Mocha",NA,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener, Flavor syrup",NA,"Granulated Sugar","Chocolatey","Somewhat strong","Dark","Full caffeine",1,1,3,3,2,3,3,3,2,4,4,5,1,"Coffee C","Coffee A","Coffee D","I primarily work in person","<$20","No","$4-$6","$4-$6","No","Less than $20","Yes","Male","Some college or associate's degree","Student","None","Democrat"
"2357","25-34 years old","1","At home, At the office",NA,"Cortado",NA,"No - just black",NA,NA,"Sweet","Very strong","Medium","Full caffeine",7,3,2,4,3,2,2,3,3,2,2,4,5,"Coffee A","Coffee D","Coffee D","I primarily work in person","$40-$60","Yes","$10-$15","More than $20","No",NA,"Yes",NA,NA,NA,NA,NA
"2358","25-34 years old","2","At home, At the office, On the go",NA,"Americano",NA,"No - just black",NA,NA,"Juicy","Very strong","Light","Full caffeine",7,1,4,4,2,2,2,3,1,4,1,3,2,"Coffee A","Coffee A","Coffee A","I primarily work in person","$60-$80","Yes","$6-$8","$6-$8","No","$500-$1000","Yes","Male","Master's degree","Employed full-time","None","No affiliation"
"2359","18-24 years old","1","At a cafe, At home",NA,"Cortado",NA,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",NA,"Maple Syrup, Brown Sugar","Chocolatey","Somewhat strong","Medium","Decaf",3,1,2,2,2,1,3,4,4,4,3,5,4,"Coffee C","Coffee D","Coffee C","I primarily work in person","$40-$60","No","$8-$10","$10-$15","Yes","$50-$100","Yes","Non-binary","Bachelor's degree","Student","None","Democrat"
"2360","35-44 years old","2","At the office, At home",NA,"Pourover",NA,"No - just black",NA,NA,"Fruity","Somewhat strong","Light","Full caffeine",8,4,4,1,3,3,4,4,3,4,2,5,5,"Coffee C","Coffee D","Coffee C","I primarily work in person","$40-$60","Yes","$8-$10","$10-$15","Yes","$500-$1000","Yes","Male","Bachelor's degree","Employed full-time","None","No affiliation"
"2361","35-44 years old","1","At home",NA,"Other","Aeropress black","No - just black",NA,NA,"Fruity","Medium","Light","Full caffeine",8,2,4,4,4,3,1,3,3,2,2,3,3,"Coffee A","Coffee A","Coffee A","I primarily work from home","$40-$60","Yes","$10-$15","$10-$15","Yes","$500-$1000","Yes","Male","Bachelor's degree","Employed full-time","None","No affiliation"
"2362","25-34 years old","2","At the office, At home",NA,"Pourover",NA,"No - just black",NA,NA,"Fruity","Medium","Nordic","Full caffeine",8,1,4,5,5,2,1,4,2,2,1,4,4,"Coffee A","Coffee A","Coffee A","I do a mix of both","$60-$80","Yes","$8-$10","$10-$15","No","$500-$1000","Yes","Male","Master's degree",NA,NA,"No affiliation"
"2363","25-34 years old","1","At the office, On the go, At home",NA,"Cold brew",NA,"Sugar or sweetener",NA,"Artificial Sweeteners (e.g., Splenda)","Chocolatey","Somewhat strong","Dark","Full caffeine",7,1,3,3,1,1,5,1,2,4,2,4,1,"Coffee B","Coffee A","Coffee B","I do a mix of both","$40-$60","No","$15-$20","$8-$10","Yes","$500-$1000","No","Male","Master's degree","Employed full-time","None","No affiliation"
"2364",">65 years old","1","At home",NA,"Pourover",NA,"No - just black",NA,NA,"Chocolatey","Medium","Medium","Full caffeine",7,2,3,4,3,3,4,4,3,3,3,2,1,"Coffee A","Coffee A","Coffee A",NA,NA,NA,"$2-$4","$2-$4","No","$500-$1000","Yes","Male",NA,"Retired","3",NA
"2365","45-54 years old","2","At home",NA,"Cappuccino",NA,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",NA,"Granulated Sugar","Chocolatey","Somewhat strong","Medium","Full caffeine",5,1,2,3,2,3,4,4,3,1,2,3,4,"Coffee B","Coffee D","Coffee B","I primarily work from home","$20-$40","Yes","$6-$8","$6-$8","Yes","$500-$1000","Yes","Male","Master's degree","Employed full-time","2","Democrat"
"2366","35-44 years old","2","At the office, At a cafe, At home",NA,"Pourover",NA,"No - just black",NA,NA,"Bright","Medium","Light","Full caffeine",8,3,4,5,2,2,2,3,3,4,2,5,5,"Coffee A","Coffee A","Coffee A","I do a mix of both","$20-$40","Yes","$10-$15","$10-$15","Yes","$500-$1000","Yes","Male","Master's degree","Employed full-time","3","No affiliation"
"2367","25-34 years old","Less than 1","At the office",NA,"Latte",NA,"No - just black",NA,NA,"Bright","Medium","Light","Full caffeine",4,2,3,5,2,2,3,2,2,2,1,4,3,"Coffee A","Coffee A","Coffee C","I primarily work in person","<$20","Yes","$8-$10","More than $20","Yes","$300-$500","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
"2368","18-24 years old","2","At a cafe, At home",NA,"Latte",NA,"Flavor syrup, Milk, dairy alternative, or coffee creamer, Sugar or sweetener",NA,"Granulated Sugar, Maple Syrup, Brown Sugar","Sweet","Medium","Medium","Full caffeine",2,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2369","45-54 years old","1","At home",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Caramalized","Somewhat strong","Dark","Full caffeine",5,2,3,2,1,2,3,3,2,4,4,5,1,"Coffee C","Coffee A","Coffee C","I primarily work from home","$20-$40","Yes","$6-$8","$6-$8","No","$50-$100","Yes","Female","Master's degree","Employed full-time","None","Independent"
"2370","35-44 years old","3","At home, At a cafe",NA,"Pourover",NA,"No - just black",NA,NA,"Bright","Somewhat strong","Nordic","Full caffeine",9,2,5,4,4,1,1,5,2,2,1,3,5,"Coffee A","Coffee D","Coffee D","I primarily work from home",">$100","Yes","More than $20","More than $20","Yes","More than $1,000","Yes","Male","Doctorate or professional degree","Employed full-time","None","No affiliation"
"2371","25-34 years old","1","At the office",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",NA,"Granulated Sugar","Sweet","Medium","Light","Full caffeine",5,2,3,5,5,1,1,4,4,4,1,5,5,"Coffee A","Coffee D","Coffee D","I do a mix of both","<$20","No","$4-$6","$4-$6","Yes","Less than $20","Yes","Female","Bachelor's degree","Employed full-time","None","Democrat"
"2372","25-34 years old","1","At the office, At home",NA,"Iced coffee",NA,"No - just black, Milk, dairy alternative, or coffee creamer, Flavor syrup",NA,NA,"Chocolatey","Somewhat strong","Dark","Full caffeine",7,1,3,2,3,3,4,2,2,5,1,4,1,"Coffee C","Coffee A","Coffee C","I primarily work in person","$80-$100","Yes","$8-$10","$8-$10","Yes","$300-$500","Yes","Male","Bachelor's degree","Employed full-time","None","Republican"
"2373","25-34 years old","1","At home",NA,"Pourover",NA,"No - just black",NA,NA,"Fruity","Very strong","Light","Full caffeine",6,2,3,4,3,2,2,4,2,3,1,5,5,"Coffee A","Coffee D","Coffee D","I primarily work in person","$40-$60","Yes","$6-$8","$10-$15","Yes","$500-$1000","Yes","Male",NA,"Employed full-time",NA,NA
"2374",">65 years old","Less than 1","At home",NA,"Other","Caramel macchiato","No - just black",NA,NA,"Full Bodied","Medium","Medium","Full caffeine",1,1,2,4,2,3,4,3,2,4,4,3,3,"Coffee A","Coffee A","Coffee A","I primarily work from home","<$20","No",NA,NA,NA,NA,NA,"Female","High school graduate","Retired","3",NA
"2375","45-54 years old","2","At home",NA,"Espresso",NA,"No - just black",NA,NA,"Chocolatey","Very strong","Medium","Full caffeine",6,2,4,3,3,3,4,2,3,3,2,3,4,"Coffee B","Coffee D","Coffee D","I primarily work from home","$40-$60","Yes",NA,"$6-$8","No","$500-$1000","Yes","Male","Master's degree","Employed full-time","1","No affiliation"
"2376",">65 years old","1","At home",NA,"Latte",NA,"No - just black",NA,NA,"Bold","Somewhat strong","Dark","Full caffeine",2,4,3,3,3,2,3,2,2,4,4,2,3,"Coffee C","Coffee D","Coffee C","I primarily work from home","<$20","No",NA,NA,NA,NA,NA,"Male","High school graduate","Retired","3",NA
"2377","25-34 years old","1","At home",NA,"Iced coffee",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Bold","Medium","Medium","Full caffeine",4,4,4,2,2,2,5,2,3,4,3,2,3,"Coffee B","Coffee D","Coffee B","I primarily work from home","<$20","No","$8-$10","$15-$20","Yes","Less than $20","Yes","Female","Some college or associate's degree","Employed full-time","None","Democrat"
"2378","25-34 years old","More than 4","At home",NA,"Regular drip coffee",NA,"No - just black",NA,NA,"Full Bodied","Somewhat strong","Medium","Full caffeine",4,2,4,3,1,1,4,3,3,4,4,5,1,"Coffee C","Coffee A","Coffee C","I primarily work from home","$20-$40","Yes","$6-$8","$8-$10","No","$100-$300","Yes","Male","Bachelor's degree","Employed full-time","2","Independent"
